;L, μμ;hn58,naco3-11,53, 800 .csv;Result;fail;Predict
57;53,88333333;15,34;8,447607402;47,50507573;8,199043632
58;54,76666667;15,38;8,470954266;47,73491295;8,224767778
59;55,65;15,38;8,494301131;47,41284892;8,250491924
60;56,53333333;15,59;8,517647995;50,01816288;8,27621607
61;57,41666667;15,56;8,54099486;49,26643316;8,301940216
62;58,3;15,66;8,564341724;50,34836636;8,327664361
63;59,18333333;15,78;8,587688589;51,72934343;8,353388507
64;60,06666667;15,73;8,611035454;50,67965621;8,379112653
65;60,95;15,52;8,634382318;47,41173086;8,404836799
66;61,83333333;15,58;8,657729183;47,91783327;8,430560945
67;62,71666667;15,58;8,681076047;47,59515171;8,45628509
68;63,6;15,5;8,704422912;46,17986796;8,482009236
69;64,48333333;15,57;8,727769776;46,81611443;8,507733382
70;65,36666667;15,57;8,751116641;46,49717027;8,533457528
71;66,25;15,37;8,774463505;43,50110165;8,559181673
72;67,13333333;15,16;8,79781037;40,47745689;8,584905819
73;68,01666667;14,96;8,821157235;37,6853905;8,610629965
74;68,9;14,73;8,844504099;34,639062;8,636354111
75;69,78333333;14,49;8,867850964;31,60855979;8,662078257
76;70,66666667;14,45;8,891197828;30,90028158;8,687802402
77;71,55;14,43;8,914544693;30,42024725;8,713526548
78;72,43333333;14,25;8,937891557;28,21849611;8,739250694
79;73,31666667;13,89;8,961238422;24,29269069;8,76497484
80;74,2;14,03;8,984585287;25,45620963;8,790698986
81;75,08333333;14,21;9,007932151;27,0615099;8,816423131
82;75,96666667;14,2;9,031279016;26,71567661;8,842147277
83;76,85;14,31;9,05462588;27,61895714;8,867871423
84;77,73333333;14,45;9,077972745;28,85867683;8,893595569
85;78,61666667;14,29;9,101319609;26,9224042;8,919319715
86;79,5;14,05;9,124666474;24,25891034;8,94504386
87;80,38333333;14,06;9,148013338;24,12761296;8,970768006
88;81,26666667;14,24;9,171360203;25,69110939;8,996492152
89;82,15;14,27;9,194707068;25,75859835;9,022216298
90;83,03333333;14,2;9,218053932;24,81978662;9,047940444
91;83,91666667;14,27;9,241400797;25,28680995;9,073664589
92;84,8;14,22;9,264747661;24,55452574;9,099388735
93;85,68333333;13,98;9,288094526;22,01397698;9,125112881
94;86,56666667;14,12;9,31144139;23,1222359;9,150837027
95;87,45;14,13;9,334788255;22,99405568;9,176561172
96;88,33333333;14,15;9,35813512;22,96196903;9,202285318
97;89,21666667;14,13;9,381481984;22,54842335;9,228009464
98;90,1;14,18;9,404828849;22,80225952;9,25373361
99;90,98333333;14,1;9,428175713;21,82594217;9,279457756
100;91,86666667;14,21;9,451522578;22,64310738;9,305181901
101;92,75;14,07;9,474869442;21,11522484;9,330906047
102;93,63333333;14,24;9,498216307;22,48451259;9,356630193
103;94,51666667;14,27;9,521563171;22,54765231;9,382354339
104;95,4;14,31;9,544910036;22,70608236;9,408078485
105;96,28333333;14,3;9,568256901;22,38939276;9,43380263
106;97,16666667;14,32;9,591603765;22,35773095;9,459526776
107;98,05;14,19;9,61495063;20,93107674;9,485250922
108;98,93333333;14,13;9,638297494;20,1753914;9,510975068
109;99,81666667;14,14;9,661644359;20,05566925;9,536699214
110;100,7;14,13;9,684991223;19,75810302;9,562423359
111;101,5833333;14,19;9,708338088;20,08529349;9,588147505
112;102,4666667;14,4;9,731684953;21,79316538;9,613871651
113;103,35;14,59;9,755031817;23,37691733;9,639595797
114;104,2333333;14,4;9,778378682;21,35938361;9,665319942
115;105,1166667;14,49;9,801725546;21,97991735;9,691044088
116;106;14,52;9,825072411;22,04234507;9,716768234
117;106,8833333;14,42;9,848419275;20,89935032;9,74249238
118;107,7666667;14,42;9,87176614;20,68643125;9,768216526
