;L, μμ;vt41, naco3+tib2, 280, 2000.csv;Result;fail;Predict
56;280,0;496,416;497,1731167976824;0,5732258453328307;504,70981272094974
57;284,6666666666667;500,232;497,3929990131467;8,059926603354052;504,8326024427599
58;289,3333333333333;503,376;497,61288122861106;33,21353797313531;504,95539216456996
59;294,0;505,104;497,83276344407545;52,87088105221324;505,07818188638004
60;298,6666666666667;506,568;498,0526456595398;72,51125954359424;505,2009716081902
61;303,3333333333333;507,024;498,2725278750042;76,58826435457875;505,32376133000025
62;308,0;509,136;498,4924100904685;113,28600616228076;505,44655105181033
63;312,6666666666667;510,408;498,7122923059329;136,78957846506026;505,56934077362047
64;317,3333333333333;510,576;498,93217452139726;135,5786717761589;505,69213049543055
65;322,0;511,22399999999993;499,15205673686165;145,73181414842972;505,8149202172406
66;326,6666666666667;513,072;499,371938952326;187,69167270999475;505,93770993905076
67;331,3333333333333;512,88;499,5918211677904;176,57569667678356;506,06049966086084
68;336,0;512,256;499,8117033832547;154,86051828553724;506,1832893826709
69;340,6666666666667;513,312;500,03158559871906;176,36940666975045;506,30607910448106
70;345,3333333333333;513,9839999999999;500,25146781418346;188,5824402344852;506,42886882629114
71;350,0;514,32;500,4713500296478;191,78510600133754;506,5516585481013
72;354,6666666666667;515,76;500,6912322451122;227,06776165074635;506,67444826991135
73;359,3333333333333;516,456;500,9111144605765;241,64346643377752;506,79723799172143
74;364,0;516,888;501,1309966760409;248,28315375125848;506,92002771353157
75;368,6666666666667;517,3439999999999;501,35087889150526;255,779922790978;507,04281743534165
76;373,3333333333333;516,264;501,5707611069696;215,89126916766156;507,1656071571517
77;378,0;517,176;501,790643322434;236,7092000959263;507,28839687896186
78;382,6666666666667;518,088;502,01052553789833;258,4851850795302;507,41118660077194
79;387,3333333333333;518,88;502,2304077533627;277,20892197928384;507,533976322582
80;392,0;519,312;502,45028996882706;284,3172651753584;507,65676604439216
81;396,6666666666667;521,664;502,67017218429146;360,765495092783;507,77955576620224
82;401,3333333333333;521,496;502,8900543997558;346,1812116792459;507,9023454880123
83;406,0;522,9839999999999;503,1099366152202;394,9783954222424;508,02513520982245
84;410,6666666666667;524,736;503,32981883068453;458,2245922535558;508,14792493163253
85;415,3333333333333;525,888;503,5497010461489;498,99960015162554;508,2707146534426
86;420,0;525,264;503,76958326161326;462,00995092344033;508,39350437525275
87;424,6666666666667;524,736;503,9894654770776;430,4186947108105;508,5162940970628
88;429,3333333333333;524,616;504,209347692542;416,43145839748047;508,6390838188729
89;434,0;524,256;504,42922990800633;393,10081228077337;508,76187354068304
90;438,6666666666667;524,208;504,64911212347073;382,5500949666425;508,8846632624931
91;443,3333333333333;525,216;504,86899433893507;414,00063937140874;509,0074529843032
92;448,0;527,592;505,08887655439946;506,3905648079359;509,13024270611334
93;452,6666666666667;528,0;505,3087587698638;514,892428564233;509,2530324279234
94;457,3333333333333;527,352;505,52864098532814;476,25899868325854;509,3758221497335
95;462,0;526,992;505,74852320079253;451,28530651846427;509,49861187154363
96;466,6666666666667;527,52;505,96840541625687;464,47122910202535;509,6214015933537
97;476,0;486,672;506,4081698471856;389,5164002369572;509,8669810369739
98;480,6666666666667;471,336;506,62805206265;1245,5289387927971;509,989770758784
99;485,3333333333333;458,136;506,84793427811434;2372,852541115328;510,1125604805941
100;490,0;448,344;507,06781649357873;3448,4866235715103;510,2353502024042
101;494,6666666666667;437,592;507,28769870904307;4857,49041854171;510,3581399242143
102;499,3333333333333;470,616;507,5075809245074;1360,9887431094799;510,4809296460244
103;504,0;476,448;507,7274631399718;978,404814324856;510,6037193678345
104;508,6666666666667;483,216;507,94734535543614;611,6394430898524;510,7265090896446
105;513,3333333333334;486,792;508,16722757090054;456,9003537077876;510,8492988114547
106;518,0;490,536;508,3871097863649;318,66212060485174;510,9720885332648
107;522,6666666666666;493,272;508,60699200182927;235,16197969616792;511,0948782550749
108;527,3333333333334;496,32;508,8268742172936;156,42190268720375;511,21766797688497
109;532,0;497,688;509,046756432758;129,02134769872157;511,3404576986951
110;536,6666666666666;499,2;509,26663864822234;101,33721367388394;511,4632474205052
111;541,3333333333334;500,136;509,4865208636867;87,43224042223942;511,58603714231526
112;546,0;499,848;509,7064030791511;97,1881112710151;511,7088268641254
113;550,6666666666666;503,64;509,9262852946154;39,51738280529814;511,8316165859355
114;555,3333333333334;504,84;510,1461675100798;28,155413645026794;511,95440630774556
115;560,0;506,784;510,36604972554414;12,831080236270937;512,0771960295557
116;564,6666666666666;507,408;510,58593194100854;10,099251421682203;512,1999857513658
117;569,3333333333334;505,944;510,8058141564729;23,637236892079912;512,3227754731759
118;574,0;504,912;511,0256963719373;37,37728332823924;512,445565194986
119;578,6666666666666;502,416;511,2455785874016;77,96145803110107;512,5683549167961
120;583,3333333333334;502,848;511,465460802866;74,26063068893178;512,6911446386061
121;588,0;503,376;511,68534301833034;69,04518139627561;512,8139343604163
122;592,6666666666666;506,784;511,9052252337947;26,22694789525547;512,9367240822264
123;597,3333333333334;508,128;512,1251074492591;15,97686796092251;513,0595138040364
124;602,0;510,768;512,3449896647235;2,486896402644733;513,1823035258466
125;606,6666666666666;511,32;512,5648718801878;1,549705998082206;513,3050932476567
126;611,3333333333334;513,864;512,7847540956521;1,1647717220516856;513,4278829694667
127;616,0;514,2239999999999;513,0046363111165;1,4868478057673105;513,5506726912769
128;620,6666666666666;513,7679999999999;513,2245185265808;0,29537211194978746;513,673462413087
129;625,3333333333334;515,4;513,4444007420452;3,824368457713205;513,796252134897
130;630,0;515,064;513,6642829575096;1,9592077990379366;513,9190418567072
131;634,6666666666666;513,312;513,884165172974;0,3273729851643628;514,0418315785173
132;639,3333333333334;513,576;514,1040473884383;0,2788340444364743;514,1646213003273
133;644,0;514,176;514,3239296039027;0,021883167710791795;514,2874110221375
134;648,6666666666666;515,088;514,5438118193671;0,2961407759405312;514,4102007439476
135;653,3333333333334;514,944;514,7636940348315;0,032510241075339355;514,5329904657576
136;658,0;515,304;514,9835762502958;0,10267137937451173;514,6557801875678
137;662,6666666666666;514,872;515,2034584657601;0,10986471452410082;514,7785699093779
138;667,3333333333334;515,088;515,4233406812245;0,11245337248416497;514,9013596311879
139;672,0;513,576;515,6432228966888;4,273410504594451;515,024149352998
140;676,6666666666666;513,6959999999999;515,8631051121532;4,6963445671210025;515,1469390748082
141;681,3333333333334;513,4799999999999;516,0829873276176;6,775543027738395;515,2697287966182
142;686,0;512,544;516,302869543082;14,129100241909693;515,3925185184283
143;690,6666666666666;511,22399999999993;516,5227517585463;28,076770198698135;515,5153082402385
144;695,3333333333334;512,088;516,7426339740107;21,66561743201484;515,6380979620485
145;700,0;512,376;516,9625161894751;21,03613075631724;515,7608876838586
146;704,6666666666666;493,8;517,1823984049395;546,7365551673156;515,8836774056688
147;709,3333333333334;444,0;517,4022806204038;5387,894800276501;516,0064671274788
148;718,6666666666666;446,784;517,8420450513325;5049,245766517207;516,2520465710991
149;723,3333333333334;452,544;518,0619272667968;4292,598793337282;516,3748362929091
150;728,0;460,224;518,2818094822612;3370,7092418785423;516,4976260147192
151;732,6666666666666;489,192;518,5016916977256;859,0580274157256;516,6204157365294
