;L, μμ;vt18u,naco3+tib2-1,280,2000.csv;Result;fail;Predict
175;844,6666666666666;332,208;342,27726653760755;101,3901286053825;349,5377684021772
176;849,3333333333334;336,216;342,35496164541627;37,686850083891905;349,6078372879135
177;854,0;336,288;342,43265675322493;37,75680661495264;349,6779061736498
178;858,6666666666666;335,616;342,51035186103366;47,532087583738424;349,747975059386
179;863,3333333333334;340,272;342,5880469688424;5,364073561884004;349,8180439451223
180;868,0;345,144;342,66574207665104;6,141762334641913;349,8881128308586
181;872,6666666666666;340,44;342,74343718445976;5,305822862751939;349,9581817165949
182;877,3333333333334;313,344;342,8211322922685;868,901328175898;350,0282506023311
183;882,0;288,624;342,89882740007715;2945,756889308163;350,0983194880674
184;886,6666666666666;265,368;342,9765225078859;6023,082765857029;350,1683883738037
185;891,3333333333334;241,608;343,0542176156946;10291,335068530863;350,2384572595399
186;896,0;224,472;343,1319127235033;14080,174887549423;350,3085261452762
187;900,6666666666666;234,264;343,209607831312;11869,145465734025;350,3785950310125
188;905,3333333333334;240,6;343,2873029391207;10544,68218491075;350,4486639167487
189;910,0;240,432;343,36499804692943;10595,202086929181;350,518732802485
190;919,3333333333334;241,824;343,5203882625468;10342,155385646667;350,65887057395753
191;924,0;248,088;343,59808337035554;9122,176025412267;350,7289394596938
192;928,6666666666666;248,184;343,6757784781642;9118,679756922786;350,7990083454301
193;933,3333333333334;246,312;343,7534735859729;9494,840774605856;350,86907723116633
194;938,0;250,656;343,83116869378165;8681,612061114667;350,9391461169026
195;942,6666666666666;253,008;343,9088638015903;8262,967039875271;351,0092150026389
196;947,3333333333334;252,432;343,98655890939904;8382,23725709462;351,07928388837513
197;952,0;252,24;344,06425401720776;8431,693625816693;351,1493527741114
198;956,6666666666666;259,272;344,1419491250164;7202,908264482878;351,2194216598477
199;961,3333333333334;261,672;344,21964423282515;6814,113568389066;351,28949054558393
200;966,0;262,272;344,29733934063387;6728,15629394614;351,3595594313202
201;970,6666666666666;263,88;344,37503444844253;6479,450570855951;351,4296283170565
202;975,3333333333334;268,32;344,45272955625126;5796,192509685295;351,49969720279273
203;980,0;265,992;344,53042466406;6168,284148712221;351,569766088529
204;984,6666666666666;266,472;344,60811977186864;6105,253213003805;351,6398349742653
205;989,3333333333334;265,152;344,68581487967737;6325,627709314791;351,70990386000153
206;994,0;265,032;344,7635099874861;6357,113684884596;351,7799727457378
207;998,6666666666666;263,808;344,84120509529475;6566,380328016105;351,8500416314741
208;1003,3333333333334;266,112;344,9189002031035;6210,527519621907;351,92011051721033
209;1008,0;268,248;344,9965953109122;5890,346882198175;351,9901794029466
210;1012,6666666666666;271,872;345,0742904187209;5358,575322546759;352,0602482886829
211;1017,3333333333334;271,08;345,1519855265296;5486,6590398424105;352,13031717441913
212;1022,0;271,70399999999995;345,2296806343383;5406,0257127427185;352,2003860601554
213;1026,6666666666667;270,144;345,30737574214703;5649,533052955176;352,2704549458917
214;1031,3333333333333;268,224;345,3850708499557;5953,830854711884;352,34052383162793
215;1036,0;268,272;345,4627659577644;5958,414349146364;352,4105927173642
216;1040,6666666666667;274,056;345,54046106557314;5110,028173835444;352,4806616031005
217;1045,3333333333333;313,344;345,6181561733818;1041,6211567038392;352,55073048883673
218;1050,0;381,336;345,6958512811905;1270,2202006988573;352,620799374573
219;1054,6666666666667;598,104;345,77354638899925;63670,65781953342;352,6908682603093
220;1059,3333333333333;612,648;345,8512414968079;71180,51034781062;352,76093714604553
221;1064,0;623,7599999999999;345,92893660461664;77190,09978740946;352,8310060317818
222;1068,6666666666667;602,16;346,00663171242536;65614,54808506984;352,9010749175181
223;1073,3333333333333;552,792;346,084326820234;42728,06215139295;352,97114380325434
224;1078,0;349,152;346,16202192804275;8,939968870785128;353,04121268899064
225;1082,6666666666667;347,856;346,23971703585147;2,612370620196741;353,1112815747269
226;1087,3333333333333;346,224;346,31741214366014;0,008725828583183723;353,18135046046314
227;1092,0;345,36;346,39510725146886;1,0714470220433845;353,25141934619944
228;1096,6666666666667;343,056;346,4728023592776;11,67453836236495;353,3214882319357
229;1101,3333333333333;344,66400000000004;346,55049746708625;3,5588726933226527;353,39155711767194
230;1106,0;344,256;346,62819257489497;5,62729761238695;353,46162600340824
231;1110,6666666666667;345,504;346,7058876827037;1,4445340018347992;353,5316948891445
232;1115,3333333333333;345,528;346,78358279051236;1,5764881438307423;353,60176377488074
233;1120,0;348,648;346,8612778983211;3,192375868628034;353,67183266061704
234;1124,6666666666667;350,064;346,9389730061298;9,765793712417555;353,7419015463533
235;1129,3333333333333;351,768;347,0166681139385;22,57515469150426;353,81197043208954
236;1134,0;352,8;347,0943632217472;32,55429104535126;353,88203931782584
237;1138,6666666666667;353,352;347,1720583295559;38,19167905009099;353,9521082035621
238;1143,3333333333333;350,28;347,24975343736463;9,182394230363299;354,02217708929834
