;L, μμ;vt18u,nacro2,200,2000.csv;Result;fail;Predict
159;543,3333333333334;462,552;429,35152560064046;1102,2715003425299;439,0919432321694
160;546,6666666666666;462,9359999999999;429,4264713480138;1122,8885104782776;439,15270270850755
161;550,0;452,184;429,5014170953872;514,4995672246348;439,2134621848457
162;553,3333333333334;462,9359999999999;429,5763628427606;1112,8653912626623;439,27422166118384
163;556,6666666666666;476,928;429,65130859013397;2235,085550663701;439,33498113752205
164;560,0;478,704;429,7262543375073;2398,8195701798204;439,3957406138602
165;563,3333333333334;462,888;429,80120008488075;1094,7363286231339;439,45650009019835
166;566,6666666666666;467,688;429,8761458322541;1429,7363156028814;439,51725956653655
167;570,0;459,168;429,9510915796275;853,6277376444355;439,5780190428747
168;573,3333333333334;444,264;430,0260373270009;202,71958107771616;439,63877851921285
169;576,6666666666666;430,656;430,10098307437426;0,3080437877310598;439,69953799555105
170;580,0;439,224;430,1759288217476;81,86759204672126;439,7602974718892
171;583,3333333333334;435,264;430,25087456912104;25,131426585725478;439,82105694822735
172;586,6666666666666;401,088;430,3258203164944;854,8501368596114;439,8818164245655
173;590,0;418,776;430,4007660638678;135,1351860396527;439,9425759009037
174;593,3333333333334;457,104;430,4757118112412;709,0657318635915;440,00333537724185
175;596,6666666666666;463,68;430,55065755861455;1097,553330598584;440,06409485358
176;600,0;472,128;430,62560330598797;1722,44893134714;440,1248543299182
177;603,3333333333334;494,616;430,7005490533613;4085,1848697121723;440,18561380625636
178;606,6666666666666;469,0079999999999;430,7754948007347;1461,7244538118432;440,2463732825945
179;610,0;454,584;430,8504405481081;563,281844256487;440,3071327589327
180;613,3333333333334;452,832;430,9253862954815;479,89972399899864;440,36789223527086
181;616,6666666666666;446,544;431,00033204285484;241,60561356198076;440,428651711609
182;620,0;454,992;431,07527779022826;572,0096012593899;440,4894111879472
183;623,3333333333334;466,128;431,1502235376016;1223,4448462535092;440,55017066428536
184;626,6666666666666;446,616;431,225169284975;236,87767009855708;440,6109301406235
185;630,0;447,6;431,3001150323484;265,6862499586753;440,67168961696166
186;633,3333333333334;404,784;431,37506077972176;707,0845133908574;440,73244909329986
187;636,6666666666666;408,792;431,4500065270952;513,3852597818892;440,793208569638
188;640,0;416,73599999999993;431,52495227446855;218,71310937651037;440,85396804597616
189;643,3333333333334;429,744;431,5998980218419;3,444357467476607;440,91472752231437
190;646,6666666666666;426,408;431,67484376921533;27,73964328932217;440,9754869986525
191;650,0;469,32;431,7497895165887;1411,5207157678285;441,03624647499066
192;653,3333333333334;458,208;431,82473526396205;696,0766581318649;441,09700595132887
193;656,6666666666666;454,272;431,8996810113355;500,5206569305589;441,157765427667
194;660,0;441,36;431,97462675870884;88,08523087834445;441,21852490400516
195;663,3333333333334;403,056;432,0495725060822;840,6272466654466;441,2792843803433
196;666,6666666666666;375,576;432,1245182534556;3197,734916661401;441,3400438566815
197;670,0;353,544;432,199464000829;6186,682017185707;441,40080333301967
198;673,3333333333334;343,416;432,2744097482024;7895,816982979432;441,4615628093578
199;676,6666666666666;334,872;432,34935549557576;9501,834834410853;441,522322285696
200;680,0;341,30400000000003;432,4243012429491;8302,909298605791;441,58308176203417
201;683,3333333333334;347,80799999999994;432,49924699032255;7172,607316775829;441,6438412383723
202;686,6666666666666;374,856;432,5741927376959;3331,3897729058135;441,7046007147105
203;690,0;345,02399999999994;432,6491384850693;7678,164894527578;441,76536019104867
204;693,3333333333334;376,224;432,7240842324427;3192,2595182731206;441,8261196673868
205;696,6666666666666;407,856;432,79902997981605;622,1547445740027;441,88687914372497
206;700,0;421,152;432,8739757271894;137,4047149488182;441,9476386200632
207;703,3333333333334;415,992;432,94892147456284;287,53718589448965;442,0083980964013
208;706,6666666666666;460,92;433,0238672219362;778,1942239713665;442,06915757273947
209;710,0;448,056;433,0988129693096;223,717443871052;442,1299170490777
210;713,3333333333334;464,568;433,173758716683;985,5983857551255;442,1906765254158
211;716,6666666666666;480,24;433,24870446405635;2208,181856146399;442,251436001754
212;720,0;474,0;433,32365021142977;1654,5654321221177;442,3121954780922
213;723,3333333333334;452,352;433,3985959588031;359,231524748857;442,3729549544303
214;726,6666666666666;449,112;433,4735417061765;244,56137780765803;442,4337144307685
215;730,0;437,496;433,5484874535499;15,582855304380722;442,4944739071067
216;733,3333333333334;429,072;433,6234332009233;20,715544182466648;442,55523338344483
217;736,6666666666666;450,24;433,69837894829664;273,62522701815624;442,615992859783
218;740,0;464,688;433,77332469567006;955,7171491721471;442,6767523361211
219;743,3333333333334;471,864;433,8482704430434;1445,1956937476605;442,73751181245933
220;746,6666666666666;486,12;433,9232161904168;2724,5042400643692;442,7982712887975
221;750,0;482,832;433,9981619377902;2384,74373988613;442,8590307651356
222;753,3333333333334;483,912;434,07310768516356;2483,91518716986;442,91979024147383
223;756,6666666666666;491,088;434,1480534325369;3242,157515105552;442,980549717812
224;760,0;499,968;434,22299917991035;4322,405132833592;443,04130919415013
225;763,3333333333334;481,032;434,2979449272837;2184,071903539678;443,10206867048834
226;766,6666666666666;468,504;434,3728906746571;1164,9326237785085;443,1628281468265
227;770,0;430,752;434,4478364220305;13,659206858407073;443,22358762316463
228;773,3333333333334;413,664;434,52278216940385;435,0887935906407;443,28434709950284
229;776,6666666666666;405,24;434,5977279167773;861,8761884355231;443,345106575841
230;780,0;397,008;434,67267366415064;1418,6276422269639;443,40586605217914
231;783,3333333333334;430,272;434,747619411524;20,031169116810506;443,4666255285173
232;786,6666666666666;471,192;434,8225651588974;1322,735790661207;443,5273850048555
233;790,0;439,416;434,8975109062708;20,416743690149865;443,58814448119364
234;793,3333333333334;436,392;434,97245665364414;2,015103312183169;443,6489039575318
235;796,6666666666666;451,032;435,04740240101756;255,5073604013945;443,70966343387
236;800,0;462,264;435,1223481483909;736,6692652339548;443,77042291020814
237;803,3333333333334;484,752;435,19729389576435;2455,668897077171;443,8311823865463
238;806,6666666666666;535,584;435,2722396431377;10062,44926589256;443,8919418628845
239;810,0;517,2719999999999;435,3471853905111;6711,67524879912;443,95270133922264
240;813,3333333333334;493,416;435,4221311378845;3363,2888255962503;444,0134608155608
241;816,6666666666666;483,408;435,49707688525785;2295,4565537067347;444,07422029189894
242;820,0;446,28;435,5720226326312;114,6607793000815;444,13497976823714
243;823,3333333333334;471,024;435,64696838000464;1251,534366242152;444,1957392445753
244;826,6666666666666;481,22399999999993;435,721914127378;2070,4398187594606;444,25649872091344
245;830,0;444,72;435,79685987475136;79,62242969482276;444,31725819725165
246;833,3333333333334;430,728;435,8718056221248;26,458736278202426;444,3780176735898
247;836,6666666666666;410,544;435,94675136949814;645,2997771405408;444,43877714992794
248;840,0;405,408;436,02169711687156;937,1984511635494;444,49953662626615
249;843,3333333333334;422,88;436,0966428642449;174,67964860099647;444,5602961026043
250;846,6666666666666;442,008;436,1715886116183;34,0636978944315;444,62105557894245
251;850,0;431,28;436,2465343589917;24,666463539045463;444,6818150552806
252;853,3333333333334;430,584;436,3214801063651;32,91867797093493;444,7425745316188
253;856,6666666666666;415,392;436,39642585373844;441,1859054451958;444,80333400795695
254;860,0;394,56;436,47137160111185;1756,5630694864851;444,8640934842951
255;863,3333333333334;406,272;436,5463173484852;916,5342909167936;444,9248529606333
256;866,6666666666666;425,808;436,6212630958586;116,92665878025726;444,98561243697145
257;870,0;465,72;436,696208843232;842,3804531116859;445,0463719133096
258;873,3333333333334;453,384;436,77115459060536;275,98663259644496;445,1071313896478
259;876,6666666666666;453,792;436,8461003379787;287,16351535529185;445,16789086598595
260;880,0;445,152;436,92104608535215;67,74860234505663;445,2286503423241
261;883,3333333333334;442,056;436,9959918327255;25,60368265288439;445,2894098186623
262;886,6666666666666;436,368;437,07093758009887;0,49412124151526365;445,35016929500046
263;890,0;417,312;437,1458833274723;393,3829278477828;445,4109287713386
264;893,3333333333334;425,112;437,22082907484565;146,62374156382688;445,47168824767675
265;896,6666666666666;458,688;437,2957748222191;457,6272980568837;445,53244772401496
266;900,0;427,992;437,37072056959244;87,96039952249592;445,5932072003531
267;903,3333333333334;425,112;437,4456663169658;152,1193248182561;445,65396667669125
268;906,6666666666666;449,544;437,5206120643392;144,56185745139283;445,71472615302946
269;910,0;440,088;437,5955578117126;6,212268061955089;445,7754856293676
270;913,3333333333334;428,688;437,67050355908594;80,68537018899185;445,83624510570576
271;916,6666666666666;421,704;437,74544930645936;257,32809585170537;445,89700458204396
272;920,0;411,168;437,8203950538327;710,3501621055668;445,9577640583821
273;923,3333333333334;414,0;437,8953408012061;570,9873120057845;446,01852353472026
274;926,6666666666666;428,592;437,9702865485795;87,95225858726765;446,0792830110584
275;930,0;438,48;438,04523229595287;0,18902295648242734;446,1400424873966
276;933,3333333333334;469,15199999999993;438,1201780433263;962,9739739506922;446,20080196373476
277;936,6666666666666;488,016;438,19512379069965;2482,119706262431;446,2615614400729
278;940,0;481,44;438,270069538073;1863,642896087611;446,3223209164111
279;943,3333333333334;500,712;438,34501528544644;3889,6407823853565;446,38308039274926
