;L, μμ;hn50,naco3,53,800;Result;fail;Predict
149;151,05;28,65;27,34919913288733;1,692082895881075;26,70313316813736
150;151,93333333333334;28,9;27,408540604816487;2,2244511274811662;26,760872331680673
151;152,81666666666666;29,11;27,467882076745653;2,696551273873168;26,818611495223983
152;153,7;29,1;27,52722354867481;2,473625765843057;26,876350658767294
153;154,58333333333334;29,4;27,586565020603977;3,2885464244970475;26,93408982231061
154;155,46666666666667;29,22;27,64590649253314;2,4777703702493192;26,99182898585392
155;156,35;29,44;27,705247964462302;3,009364624802191;27,04956814939723
156;157,23333333333332;29,35;27,764589436391464;2,5135266552015394;27,10730731294054
157;158,11666666666667;29,56;27,823930908320627;3,0139358910844405;27,16504647648386
158;159,0;29,58;27,88327238024979;2,8788846156232113;27,22278564002717
159;159,88333333333333;29,72;27,94261385217895;3,1591015184661435;27,28052480357048
160;160,76666666666668;29,69;28,001955324108117;2,8494948278069367;27,338263967113793
161;161,65;29,9;28,061296796037276;3,3808294722627825;27,396003130657107
162;162,53333333333333;29,72;28,12063826796644;2,5579579498933804;27,453742294200417
163;163,41666666666666;29,81;28,1799797398956;2,656966048350811;27,511481457743727
164;164,3;29,79;28,239321211824766;2,4046047040966094;27,569220621287045
165;165,18333333333334;29,89;28,29866268375393;2,5323544540772516;27,626959784830355
166;166,06666666666666;30,01;28,35800415568309;2,7290902696403436;27,684698948373665
167;166,95;30,27;28,41734562761225;3,4323282235274486;27,742438111916975
168;167,83333333333334;30,63;28,476687099541415;4,636756447281359;27,800177275460292
169;168,71666666666667;30,82;28,536028571470577;5,216525486338733;27,857916439003603
170;169,6;31,0;28,59537004339974;5,782245228179369;27,915655602546913
171;170,48333333333332;31,09;28,654711515328902;5,930630003571652;27,973394766090223
172;171,36666666666667;31,19;28,714052987258064;6,130313609905722;28,03113392963354
173;172,25;30,77;28,77339445918723;3,9864336856042515;28,08887309317685
174;173,13333333333333;31,06;28,83273593111639;4,960705232539974;28,14661225672016
175;174,01666666666668;31,05;28,892077403045555;4,65662993444662;28,204351420263478
176;174,9;31,2;28,951418874974717;5,056117075819964;28,26209058380679
177;175,78333333333333;31,16;29,01076034690388;4,619231086440734;28,3198297473501
178;176,66666666666666;31,65;29,070101818833038;6,655874625188591;28,37756891089341
179;177,55;31,66;29,129443290762204;6,403717258668425;28,435308074436726
180;178,43333333333334;31,8;29,188784762691366;6,818445015552789;28,493047237980036
181;179,31666666666666;31,96;29,24812623462053;7,354259319353438;28,550786401523347
182;180,2;31,98;29,30746770654969;7,142428859534773;28,608525565066657
183;181,0833333333333;32,19;29,366809178478853;7,970406414721237;28,666264728609967
184;181,96666666666667;32,15;29,42615065040802;7,419355279272652;28,724003892153284
185;182,85;32,23;29,485492122337178;7,5323234905532725;28,781743055696595
186;183,7333333333333;31,94;29,54483359426634;5,7368221111551065;28,839482219239905
187;184,61666666666667;32,37;29,604175066195506;7,649787564454622;28,897221382783222
188;185,5;32,07;29,663516538124668;5,791162652279485;28,954960546326532
189;186,38333333333333;32,19;29,722858010053827;6,086789598555553;29,012699709869842
190;187,26666666666668;32,29;29,782199481982992;6,289063438166367;29,07043887341316
191;188,15;32,76;29,841540953912155;8,517403203691964;29,12817803695647
192;189,03333333333333;32,74;29,900882425841317;8,060588599896695;29,18591720049978
193;189,91666666666663;32,99;29,960223897770476;9,17954322964114;29,24365636404309
194;190,8;33,02;30,01956536969964;9,002607970705666;29,301395527586408
195;191,6833333333333;33,43;30,078906841628804;11,229825356082236;29,359134691129718
196;192,56666666666663;33,22;30,138248313557966;9,497193456888313;29,416873854673028
197;193,45;32,92;30,197589785487132;7,411517376084009;29,474613018216342
198;194,3333333333333;32,88;30,25693125741629;6,880489628319695;29,53235218175965
199;195,21666666666667;32,65;30,316272729345457;5,446282973796698;29,590091345302966
200;196,1;32,2;30,375614201274615;3,32838354259087;29,647830508846276
201;196,9833333333333;32,12;30,434955673203778;2,839374383268126;29,705569672389586
202;197,86666666666667;32,16;30,494297145132943;2,7745660007122512;29,763308835932904
203;198,75;31,06;30,553638617062106;0,25640185013077554;29,821047999476214
204;199,63333333333333;31,33;30,612980088991268;0,5141175527829676;29,878787163019524
205;200,51666666666668;31,76;30,67232156092043;1,1830443868385727;29,93652632656284
206;201,4;32,59;30,731663032849596;3,453416283477774;29,99426549010615
207;202,28333333333333;32,98;30,791004504778755;4,79170127809889;30,052004653649462
208;203,16666666666663;34,46;30,850345976707914;13,029602167868752;30,109743817192772
209;204,05;34,56;30,90968744863708;13,324781722637692;30,16748298073609
210;204,9333333333333;34,33;30,96902892056624;11,296126596790112;30,2252221442794
211;205,81666666666663;34,02;31,028370392495404;8,949847708498123;30,28296130782271
212;206,7;33,92;31,08771186442457;8,021856082921357;30,340700471366024
213;207,5833333333333;33,66;31,14705333635373;6,31490093433091;30,398439634909334
214;208,46666666666667;33,51;31,206394808282894;5,306596879305994;30,456178798452648
215;209,35;33,53;31,265736280212057;5,126890192747939;30,513917961995958
216;210,2333333333333;33,31;31,32507775214122;3,9399163300447655;30,571657125539268
217;211,11666666666667;33,39;31,384419224070385;4,02235424877844;30,629396289082585
218;212,0;33,43;31,443760695999543;3,945146572756217;30,687135452625895
219;212,88333333333333;33,49;31,503102167928706;3,947762995089617;30,74487461616921
