;L, μμ;hn50,uncoated,53,800;Result;fail;Predict
67;75,96666666666667;24,86;27,163587241665233;5,306514179962841;32,93185914027372
68;76,85;24,78;27,22185568529544;5,962659187809664;32,96956112147591
69;77,73333333333333;24,62;27,28012412892565;7,076260381292441;33,00726310267811
70;78,61666666666666;24,76;27,338392572555858;6,648108258211206;33,0449650838803
71;79,5;25,36;27,396661016186066;4,14798809485206;33,0826670650825
72;80,38333333333334;25,61;27,454929459816274;3,40376471169797;33,12036904628469
73;81,26666666666667;26,22;27,513197903446482;1,6723608174783795;33,15807102748688
74;82,15;26,46;27,57146634707669;1,2353574406839993;33,19577300868907
75;83,03333333333333;26,94;27,629734790706898;0,4757340815114869;33,23347498989126
76;83,91666666666667;27,0;27,688003234337106;0,4733484504583192;33,27117697109346
77;84,8;27,24;27,746271677967314;0,2563110119118417;33,30887895229566
78;85,68333333333334;27,5;27,804540121597523;0,0927446856626338;33,34658093349785
79;86,56666666666666;27,81;27,86280856522773;0,0027887445614116165;33,38428291470004
80;87,45;28,11;27,92107700885794;0,03569189658206314;33,421984895902234
81;88,33333333333333;28,53;27,979345452488147;0,303220430695485;33,459686877104424
82;89,21666666666667;29,1;28,037613896118355;1,1286642337208246;33,49738885830662
83;90,1;29,21;28,095882339748563;1,2412581608841382;33,53509083950881
84;90,98333333333332;29,77;28,154150783378768;2,610968690855449;33,57279282071101
85;91,86666666666666;29,95;28,21241922700898;3,0191869426680706;33,6104948019132
86;92,75;30,43;28,270687670639187;4,662629735729617;33,648196783115395
87;93,63333333333334;30,59;28,328956114269396;5,11231945319975;33,685898764317585
88;94,51666666666668;30,83;28,387224557899604;5,967151860528778;33,72360074551978
89;95,4;31,03;28,44549300152981;6,679676425141388;33,76130272672197
90;96,28333333333332;31,38;28,503761445160016;8,272748224347993;33,79900470792417
91;97,16666666666669;31,28;28,562029888790228;7,387361525429666;33,83670668912636
92;98,05;31,62;28,620298332420436;8,998210094479623;33,874408670328556
93;98,93333333333334;31,74;28,678566776050644;9,372373384700937;33,912110651530746
94;99,81666666666666;31,89;28,736835219680852;9,942448131845103;33,94981263273294
95;100,7;32,0;28,79510366331106;10,271360528922186;33,98751461393513
96;101,58333333333331;32,22;28,853372106941265;11,33418337032109;34,02521659513733
97;102,46666666666668;32,32;28,911640550571477;11,61691413650871;34,06291857633952
98;103,35;32,65;28,969908994201685;13,543069810957645;34,10062055754172
99;104,23333333333332;32,98;29,028177437831893;15,616901562860878;34,13832253874391
100;105,11666666666666;33,03;29,0864458814621;15,551619085837235;34,176024519946104
101;106,0;33,32;29,14471432509231;17,433010467089375;34,213726501148294
102;106,88333333333334;33,14;29,202982768722517;15,500104679375822;34,25142848235049
103;107,76666666666668;33,01;29,261251212352725;14,053117472886896;34,28913046355268
104;108,65;32,92;29,319519655982933;12,963458707653267;34,32683244475488
105;109,53333333333332;33,14;29,37778809961314;14,154238383412501;34,36453442595707
106;110,41666666666669;33,34;29,43605654324335;15,240774513553092;34,402236407159265
107;111,3;33,34;29,494324986873558;14,789216306585088;34,439938388361455
108;112,18333333333334;33,91;29,552593430503766;18,98699201188891;34,47764036956365
109;113,06666666666666;33,83;29,610861874133974;17,80112652513627;34,51534235076584
110;113,95;33,95;29,669130317764182;18,32584523628582;34,55304433196804
111;114,83333333333331;33,69;29,72739876139439;15,702208576198695;34,59074631317023
112;115,71666666666668;33,75;29,7856672050246;15,71593450931748;34,628448294372426
113;116,6;33,64;29,843935648654806;14,41010455955381;34,666150275574616
114;117,48333333333332;33,99;29,90220409228501;16,71007538313143;34,70385225677681
115;118,36666666666666;34,04;29,960472535915223;16,642544330221966;34,741554237979
116;119,25;34,15;30,01874097954543;17,067301094087235;34,7792562191812
117;120,13333333333334;34,26;30,07700942317564;17,497410165801384;34,81695820038339
118;121,01666666666668;34,09;30,135277866805847;15,639827150775739;34,85466018158559
119;121,9;34,09;30,193546310436055;15,182351354916506;34,89236216278778
120;122,78333333333332;34,32;30,25181475406626;16,55013119523297;34,930064143989966
121;123,66666666666669;34,35;30,31008319769647;16,32092776953438;34,96776612519216
122;124,55;34,37;30,368351641326676;16,013189586472887;35,00546810639436
123;125,43333333333334;34,63;30,426620084956888;17,668402710187866;35,04317008759655
124;126,31666666666666;34,87;30,484888528587092;19,229202616717057;35,08087206879874
125;127,2;34,76;30,543156972217304;17,78176512095952;35,11857405000094
126;128,08333333333334;34,76;30,601425415847512;17,293742571959022;35,156276031203134
127;128,96666666666667;35,2;30,65969385947772;20,61437984966435;35,193978012405324
128;129,85;35,26;30,717962303107925;20,63010643998865;35,231679993607514
129;130,73333333333332;35,03;30,776230746738136;18,094552859996003;35,26938197480971
130;131,61666666666667;34,98;30,834499190368344;17,185176962656687;35,30708395601191
131;132,5;34,95;30,892767633998552;16,46113447172973;35,3447859372141
132;133,38333333333333;34,5;30,951036077628757;12,595144922292679;35,38248791841629
133;134,26666666666668;34,22;31,00930452125897;10,308565457208093;35,420189899618485
134;135,15;33,24;31,067572964889177;4,7194392228804105;35,45789188082068
135;136,03333333333333;33,54;31,125841408519385;5,828161704819664;35,49559386202287
136;136,91666666666666;33,71;31,18410985214959;6,380121039007773;35,53329584322506
137;137,8;34,32;31,2423782957798;9,471755354287243;35,57099782442726
138;138,68333333333334;34,86;31,30064673941001;12,668995633672594;35,60869980562945
139;139,56666666666666;36,26;31,358915183040217;24,020632383033686;35,646401786831646
140;140,45;36,03;31,417183626670422;21,278074894057454;35,684103768033836
141;141,33333333333334;36,11;31,475452070300634;21,479034512680677;35,72180574923603
142;142,21666666666667;35,86;31,53372051393084;18,716694191582818;35,75950773043822
143;143,1;35,67;31,59198895756105;16,630174062254028;35,79720971164042
144;143,98333333333332;35,23;31,650257401191254;12,81455707372597;35,83491169284261
145;144,86666666666667;35,35;31,708525844821466;13,260334022833229;35,87261367404481
146;145,75;35,25;31,76679428845167;12,132722028962904;35,910315655247
147;146,63333333333333;35,73;31,825062732081882;15,24853506637579;35,948017636449194
148;147,51666666666668;35,67;31,88333117571209;14,338860784833994;35,985719617651384
149;148,4;35,95;31,9415996193423;16,06727361165683;36,02342159885358
150;149,28333333333333;36,22;31,999868062972503;17,809513565919445;36,06112358005577
151;150,16666666666666;36,39;32,058136506602715;18,76504132542814;36,09882556125797
152;151,05;36,23;32,11640495023292;16,921664233468206;36,13652754246016
153;151,93333333333334;36,44;32,17467339386313;18,193011057019042;36,174229523662355
154;152,81666666666666;36,82;32,232941837493335;21,041102586219022;36,211931504864545
155;153,7;36,59;32,29121028112355;18,479593047117923;36,24963348606674
156;154,58333333333334;36,92;32,34947872475375;20,889664727478607;36,28733546726893
157;155,46666666666667;36,91;32,40774716838396;20,27028055979459;36,32503744847113
158;156,35;37,04;32,46601561201417;20,92133318153812;36,36273942967332
159;157,23333333333332;36,98;32,52428405564438;19,85340457678487;36,400441410875516
160;158,11666666666667;37,43;32,582552499274584;23,49774727228908;36,438143392077706
161;159,0;37,32;32,640820942904796;21,89471664835837;36,4758453732799
162;159,88333333333333;37,3;32,699089386535;21,168378473094855;36,51354735448209
163;160,76666666666668;37,62;32,75735783016521;23,645288871855552;36,55124933568429
164;161,65;37,71;32,81562627379542;23,954894171761747;36,58895131688648
165;162,53333333333333;37,75;32,87389471742563;23,776402726749694;36,62665329808868
166;163,41666666666666;37,69;32,93216316105583;22,637011386014205;36,66435527929087
167;164,3;38,0;32,990431604686044;25,09577550732844;36,70205726049306
168;165,18333333333334;37,6;33,04870004831625;20,714331250196526;36,73975924169525
169;166,06666666666666;37,59;33,10696849194646;20,09757150220082;36,77746122289744
170;166,95;37,53;33,165236935576665;19,05115660855419;36,81516320409964
171;167,83333333333334;37,96;33,22350537920688;22,4343812928022;36,85286518530184
172;168,71666666666667;37,67;33,28177382283708;19,256528981937898;36,89056716650403
173;169,6;37,66;33,34004226646729;18,662034819509014;36,92826914770622
174;170,48333333333332;37,83;33,3983107100975;19,63986996223653;36,965971128908414
175;171,36666666666667;37,82;33,45657915372771;19,039441481683596;37,00367311011061
176;172,25;37,64;33,514847597357914;17,01688234502378;37,0413750913128
