;L, μμ;hn58,naco3-12,73,1000.csv;Result;fail;Predict
109;137,4833333;366,864;530,4729048;26767,87374;590,9788041
110;138,7;322,944;530,6603932;43146,10002;591,1375176
111;139,9166667;276,12;530,8478816;64886,29367;591,2962312
112;141,1333333;307,344;531,03537;50037,82901;591,4549447
113;142,35;355,92;531,2228584;30731,09216;591,6136583
114;143,5666667;408,408;531,4103468;15129,57731;591,7723718
115;144,7833333;456,672;531,5978352;5613,880773;591,9310854
116;146;495,432;531,7853235;1321,564132;592,0897989
117;147,2166667;509,472;531,9728119;506,2865371;592,2485125
118;148,4333333;529,152;532,1603003;9,04987073;592,407226
119;149,65;525,528;532,3477887;46,50951778;592,5659396
120;150,8666667;522,552;532,5352771;99,66582116;592,7246531
121;152,0833333;539,472;532,7227655;45,55216688;592,8833667
122;153,3;540,552;532,9102538;58,39628431;593,0420802
123;154,5166667;524,592;533,0977422;72,34765087;593,2007938
124;155,7333333;531,816;533,2852306;2,158638596;593,3595073
125;156,95;530,952;533,472719;6,354024268;593,5182209
126;158,1666667;515,448;533,6602074;331,6844978;593,6769344
127;159,3833333;519,552;533,8476958;204,3669175;593,835648
128;160,6;522,384;534,0351842;135,7500921;593,9943615
129;161,8166667;508,32;534,2226725;670,9484445;594,1530751
130;163,0333333;506,712;534,4101609;767,1881184;594,3117886
131;164,25;514,44;534,5976493;406,3308255;594,4705022
132;165,4666667;500,928;534,7851377;1146,305773;594,6292157
133;166,6833333;509,256;534,9726261;661,3448567;594,7879293
134;167,9;522,408;535,1601145;162,6164232;594,9466428
135;169,1166667;516,288;535,3476028;363,2684606;595,1053564
136;170,3333333;520,2;535,5350912;235,165023;595,2640699
137;171,55;536,28;535,7225796;0,310717487;595,4227835
138;172,7666667;530,136;535,910068;33,33986125;595,581497
139;173,9833333;529,848;536,0975564;39,05695499;595,7402106
140;175,2;543,768;536,2850448;55,99461901;595,8989241
141;176,4166667;535,944;536,4725332;0,279347293;596,0576377
142;177,6333333;533,52;536,6600215;9,859735254;596,2163512
143;178,85;543,384;536,8475099;42,72570254;596,3750648
144;180,0666667;537,312;537,0349983;0,076729938;596,5337783
145;181,2833333;530,592;537,2224867;43,96335376;596,6924919
146;182,5;543,288;537,4099751;34,55117701;596,8512054
147;183,7166667;538,968;537,5974635;1,878370407;597,009919
148;184,9333333;531,456;537,7849518;40,05563146;597,1686325
149;186,15;541,992;537,9724402;16,15686075;597,3273461
150;187,3666667;543,936;538,1599286;33,36300065;597,4860596
151;188,5833333;532,488;538,347417;34,33276757;597,6447732
152;189,8;541,824;538,5349054;10,8181434;597,8034867
153;191,0166667;551,28;538,7223938;157,6934743;597,9622003
154;192,2333333;542,064;538,9098822;9,948459394;598,1209138
155;193,45;551,76;539,0973705;160,3421849;598,2796274
156;194,6666667;564,168;539,2848589;619,1707099;598,4383409
157;195,8833333;552,216;539,4723473;162,400684;598,5970545
158;197,1;555,216;539,6598357;241,994248;598,755768
159;198,3166667;571,968;539,8473241;1031,737822;598,9144816
160;199,5333333;562,152;540,0348125;489,1699847;599,0731951
161;200,75;564,168;540,2223008;573,396508;599,2319087
162;201,9666667;554,304;540,4097892;193,0490929;599,3906222
163;203,1833333;493,608;540,5972776;2207,992211;599,5493358
164;204,4;419,28;540,784766;14763,40816;599,7080493
165;205,6166667;386,736;540,9722544;23788,82217;599,8667629
166;206,8333333;350,112;541,1597428;36499,24002;600,0254764
167;208,05;345,336;541,3472312;38420,40274;600,18419
168;209,2666667;346,896;541,5347195;37884,23114;600,3429035
169;210,4833333;396,696;541,7222079;21032,60098;600,5016171
170;211,7;418,728;541,9096963;15173,73031;600,6603306
171;212,9166667;434,088;542,0971847;11665,98398;600,8190442
172;214,1333333;452,088;542,2846731;8135,439834;600,9777578
173;215,35;490,176;542,4721615;2734,888504;601,1364713
174;216,5666667;493,656;542,6596498;2401,357698;601,2951849
175;217,7833333;502,752;542,8471382;1607,62011;601,4538984
176;219;518,472;543,0346266;603,3226262;601,612612
177;220,2166667;512,352;543,222115;952,9640001;601,7713255
178;221,4333333;527,304;543,4096034;259,3904604;601,9300391
179;222,65;539,16;543,5970918;19,68778336;602,0887526
180;223,8666667;537,384;543,7845802;40,9674263;602,2474662
181;225,0833333;536,28;543,9720685;59,16791839;602,4061797
182;226,3;550,152;544,1595569;35,90937404;602,5648933
183;227,5166667;546,48;544,3470453;4,549495721;602,7236068
184;228,7333333;547,512;544,5345337;8,865305616;602,8823204
185;229,95;562,344;544,7220221;310,5341059;603,0410339
186;231,1666667;563,352;544,9095105;340,1254204;603,1997475
187;232,3833333;563,616;545,0969988;342,9534037;603,358461
188;233,6;574,92;545,2844872;878,2636171;603,5171746
189;234,8166667;573,744;545,4719756;799,3073628;603,6758881
190;236,0333333;568,416;545,659464;517,8599307;603,8346017
191;237,25;578,496;545,8469524;1065,96031;603,9933152
192;238,4666667;579,048;546,0344408;1089,895093;604,1520288
193;239,6833333;579,888;546,2219292;1133,404326;604,3107423
194;240,9;593,712;546,4094175;2237,534308;604,4694559
195;242,1166667;604,392;546,5969059;3340,272899;604,6281694
196;243,3333333;603,864;546,7843943;3258,081386;604,786883
197;244,55;617,16;546,9718827;4926,371811;604,9455965
198;245,7666667;622,896;547,1593711;5736,036961;605,1043101
199;246,9833333;619,68;547,3468595;5232,08322;605,2630236
200;248,2;620,64;547,5343478;5344,436377;605,4217372
201;249,4166667;624,888;547,7218362;5954,616831;605,5804507
202;250,6333333;621,96;547,9093246;5483,502525;605,7391643
203;251,85;622,368;548,096813;5516,209218;605,8978778
204;253,0666667;627,792;548,2843014;6321,474139;606,0565914
205;254,2833333;626,616;548,4717898;6106,517593;606,2153049
206;255,5;628,824;548,6592782;6426,382629;606,3740185
207;256,7166667;633,48;548,8467665;7162,784206;606,532732
208;257,9333333;632,688;549,0342549;6997,949065;606,6914456
209;259,15;634,92;549,2217433;7344,1912;606,8501591
210;260,3666667;641,832;549,4092317;8541,968102;607,0088727
211;261,5833333;641,424;549,5967201;8432,249338;607,1675862
212;262,8;636,816;549,7842085;7574,532738;607,3262998
213;264,0166667;640,296;549,9716968;8158,47974;607,4850133
214;265,2333333;639,288;550,1591852;7943,945622;607,6437269
215;266,45;638,544;550,3466736;7778,768381;607,8024404
216;267,6666667;645,168;550,534162;8955,563295;607,961154
217;268,8833333;649,44;550,7216504;9745,312551;608,1198675
218;270,1;616,32;550,9091388;4278,580767;608,2785811
219;271,3166667;559,632;551,0966272;72,85258962;608,4372946
220;272,5333333;495,072;551,2841155;3159,801933;608,5960082
221;273,75;438,12;551,4716039;12848,58611;608,7547217
222;274,9666667;374,328;551,6590923;31446,3163;608,9134353
223;276,1833333;360,024;551,8465807;36795,90246;609,0721488
224;277,4;366,864;552,0340691;34287,95448;609,2308624
225;278,6166667;385,368;552,2215575;27840,10964;609,3895759
226;279,8333333;411,936;552,4090458;19732,67661;609,5482895
227;281,05;460,8;552,5965342;8426,603697;609,707003
228;282,2666667;500,328;552,7840226;2751,634309;609,8657166
229;283,4833333;541,056;552,971511;141,9794024;610,0244301
230;284,7;572,136;553,1589994;360,1265523;610,1831437
231;285,9166667;587,232;553,3464878;1148,227939;610,3418572
232;287,1333333;593,568;553,5339762;1602,723065;610,5005708
233;288,35;592,032;553,7214645;1467,697127;610,6592843
234;289,5666667;596,232;553,9089529;1791,240314;610,8179979
235;290,7833333;603,624;554,0964413;2452,97907;610,9767114
236;292;604,2;554,2839297;2491,614075;611,135425
237;293,2166667;601,8;554,4714181;2239,994667;611,2941386
238;294,4333333;604,728;554,6589065;2506,914128;611,4528521
